created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 23:52:03 +0000 2023;1718777749937197127;"@ikanatassa Kenapa ngga bu retno aja yaa yang jadi calon wakil presiden";0;0;0;4;in;2443172348;1718478107081056484;tronsila;https://twitter.com/tronsila/status/1718777749937197127
Sun Oct 29 23:51:50 +0000 2023;1718777693569958237;"@redvelvetncffee @mwnajaemin @chanwofo @tanyakanrl Jujur belom liat ada yg bawa2 dosa... paling nanya doang kea mbanya diatas. that "urusan dia juga" u make it seem like this is pemilihan presiden or sum 🤣sumpah w gak bisa berkata2 sama statement u ternyata emg masi byk yg mengganggap isu ini sesimpel itu 😭";0;0;0;1;in;1089747450057830400;1718649491891572789;katyadunz;https://twitter.com/katyadunz/status/1718777693569958237
Sun Oct 29 23:51:12 +0000 2023;1718777533792137269;"@Uki23 Ga gitu jg bro, klo gitu lo cuman liat casing doang. Gada visi misi wakil presiden. Liat rekam jejak lah, gimana dari 3 capres hanya pak Ganjar yg aktif mendorong dan memfasilitasi anak muda dlm ekonomi kreatif";0;0;0;0;in;1254592631159447554;1718492774331465996;AkbarPurnomo2;https://twitter.com/AkbarPurnomo2/status/1718777533792137269
Sun Oct 29 23:50:46 +0000 2023;1718777426673537389;"https://t.co/ghCM78jW6E Anies Paling Siap jadi Presiden. Amin!";7;51;227;1073;in;380347823;1718777426673537389;ShamsiAli2;https://twitter.com/ShamsiAli2/status/1718777426673537389
Sun Oct 29 23:50:42 +0000 2023;1718777411356205282;"@abu_waras AMIN https://t.co/Y1PY4SAsyK";0;0;0;0;en;1455334373981446144;1718282646470697452;Pakamkalam;https://twitter.com/Pakamkalam/status/1718777411356205282
Sun Oct 29 23:50:15 +0000 2023;1718777297963266190;"@KlyTommoy @hasyimmah Kok beda DPT-nya? Bukannya kita memilih presiden/wapres dan anggota legislatif di hari yang sama di tahun 2019?";0;1;0;1;in;173350044;1716028981844255047;rsitanggang2101;https://twitter.com/rsitanggang2101/status/1718777297963266190
Sun Oct 29 23:50:07 +0000 2023;1718777261091164392;"Yg takut sama anak presiden siapa?  Yg ku takut sama petugas parkir anak ingusan karena hebatnya bisa menggoncang MK ANAK PRESIDEN MANA BISA .  Karena presiden nya bajingan bodoh";0;1;0;0;in;1638468578986057728;1718777261091164392;kasam_kasi45737;https://twitter.com/kasam_kasi45737/status/1718777261091164392
Sun Oct 29 23:49:43 +0000 2023;1718777161384173770;"Presiden beneran itu yang kayak gimana sih ?. Bukankah semua capres hrs lewat partai ?.";0;0;0;0;in;3456838045;1718777161384173770;JMintarto;https://twitter.com/JMintarto/status/1718777161384173770
Sun Oct 29 23:49:37 +0000 2023;1718777138466480341;"https://t.co/i6vhAzHGuy";0;0;0;0;zxx;751116182544146433;1718777138466480341;panitiaintim;https://twitter.com/panitiaintim/status/1718777138466480341
Sun Oct 29 23:49:14 +0000 2023;1718777042232349084;"@AntarticaSnowWW @Gank_Of_Petojo Dan usahakan jangan waktu malam, mengetuk pun dg ujung kuku, bukan dg anak kunci 🙏";0;0;0;2;in;1455334373981446144;1718600639851417629;Pakamkalam;https://twitter.com/Pakamkalam/status/1718777042232349084
